agents,kmax,percent,ratio,profit,distance
2,31,-1,0.30,30,85960.96
2,31,-1,0.30,55,165431.65
2,31,-1,0.30,80,181807.12
2,31,-1,0.30,105,220409.78
2,31,-1,0.30,130,266038.06
2,31,-1,0.30,155,297779.68
2,31,-1,0.30,180,310234.64
2,31,-1,0.30,205,334758.48
2,31,-1,0.30,230,585496.25
2,31,-1,0.30,255,601438.85
2,31,-1,0.30,280,676850.87
2,33,-1,0.30,5,60971.98
2,33,-1,0.30,30,85960.96
2,33,-1,0.30,55,165431.65
2,33,-1,0.30,80,181807.12
2,33,-1,0.30,105,220409.78
2,33,-1,0.30,130,266038.06
2,33,-1,0.30,155,297779.68
2,33,-1,0.30,180,310217.29
2,33,-1,0.30,205,334758.48
2,33,-1,0.30,230,585439.52
2,33,-1,0.30,255,601210.08
2,33,-1,0.30,280,676850.87
2,35,-1,0.30,5,60971.98
2,35,-1,0.30,30,85960.96
2,35,-1,0.30,55,165431.65
2,35,-1,0.30,80,181807.12
2,35,-1,0.30,105,220409.78
2,35,-1,0.30,130,266038.06
2,35,-1,0.30,155,297779.68
2,35,-1,0.30,180,310217.29
2,35,-1,0.30,205,334758.48
2,35,-1,0.30,230,585437.57
2,35,-1,0.30,255,601189.36
2,35,-1,0.30,280,676827.14
2,37,-1,0.30,5,60971.98
2,37,-1,0.30,30,85960.96
2,37,-1,0.30,55,165431.65
2,37,-1,0.30,80,181807.12
2,37,-1,0.30,105,220409.78
2,37,-1,0.30,130,266038.06
2,37,-1,0.30,155,297779.68
2,37,-1,0.30,180,310203.10
2,37,-1,0.30,205,334744.28
2,37,-1,0.30,230,585240.51
2,37,-1,0.30,255,601057.15
2,37,-1,0.30,280,676740.42
2,39,-1,0.30,5,60971.98
2,39,-1,0.30,30,85960.96
2,39,-1,0.30,55,165431.65
2,39,-1,0.30,80,181807.12
2,39,-1,0.30,105,220409.78
2,39,-1,0.30,130,266038.06
2,39,-1,0.30,155,297779.68
2,39,-1,0.30,180,310183.34
2,39,-1,0.30,205,334744.28
2,39,-1,0.30,230,585240.51
2,39,-1,0.30,255,601057.15
2,39,-1,0.30,280,676707.69
4,1,-1,0.30,5,60971.98
4,1,-1,0.30,30,86586.50
4,1,-1,0.30,55,169130.77
4,1,-1,0.30,80,196038.63
4,1,-1,0.30,105,246862.45
4,1,-1,0.30,130,347254.23
4,1,-1,0.30,155,386895.79
4,1,-1,0.30,180,463719.80
4,1,-1,0.30,205,567764.84
4,1,-1,0.30,230,795634.32
4,1,-1,0.30,255,866844.79
4,1,-1,0.30,280,1144782.16
4,3,-1,0.30,5,60971.98
4,3,-1,0.30,30,86586.50
4,3,-1,0.30,55,169130.77
4,3,-1,0.30,80,196038.63
4,3,-1,0.30,105,246862.45
4,3,-1,0.30,130,346333.64
4,3,-1,0.30,155,385975.21
4,3,-1,0.30,180,456603.80
4,3,-1,0.30,205,533671.59
4,3,-1,0.30,230,779865.17
4,3,-1,0.30,255,829562.08
4,3,-1,0.30,280,1104369.54
4,5,-1,0.30,5,60971.98
4,5,-1,0.30,30,86586.50
4,5,-1,0.30,55,169130.77
4,5,-1,0.30,80,196038.63
4,5,-1,0.30,105,246862.45
4,5,-1,0.30,130,346333.64
4,5,-1,0.30,155,385975.21
4,5,-1,0.30,180,456154.78
4,5,-1,0.30,205,528661.68
4,5,-1,0.30,230,773336.03
4,5,-1,0.30,255,820640.44
4,5,-1,0.30,280,1093251.71
4,7,-1,0.30,5,60971.98
4,7,-1,0.30,30,86586.50
4,7,-1,0.30,55,169130.77
4,7,-1,0.30,80,196038.63
4,7,-1,0.30,105,246862.45
4,7,-1,0.30,130,346316.92
4,7,-1,0.30,155,385975.21
4,7,-1,0.30,180,456007.96
4,7,-1,0.30,205,527423.00
4,7,-1,0.30,230,771168.37
4,7,-1,0.30,255,814123.39
4,7,-1,0.30,280,1081470.94
4,9,-1,0.30,5,60971.98
4,9,-1,0.30,30,86586.50
4,9,-1,0.30,55,169130.77
4,9,-1,0.30,80,196038.63
4,9,-1,0.30,105,246862.45
4,9,-1,0.30,130,346316.92
4,9,-1,0.30,155,385975.21
4,9,-1,0.30,180,455950.64
4,9,-1,0.30,205,527106.45
4,9,-1,0.30,230,769374.15
4,9,-1,0.30,255,808908.68
4,9,-1,0.30,280,1069354.20
4,11,-1,0.30,5,60971.98
4,11,-1,0.30,30,86586.50
4,11,-1,0.30,55,169130.77
4,11,-1,0.30,80,196038.63
4,11,-1,0.30,105,246862.45
4,11,-1,0.30,130,346316.92
4,11,-1,0.30,155,385975.21
4,11,-1,0.30,180,455897.78
4,11,-1,0.30,205,526631.55
4,11,-1,0.30,230,767309.06
4,11,-1,0.30,255,807219.91
4,11,-1,0.30,280,1067383.77
4,13,-1,0.30,5,60971.98
4,13,-1,0.30,30,86586.50
4,13,-1,0.30,55,169130.77
4,13,-1,0.30,80,196038.63
4,13,-1,0.30,105,246862.45
4,13,-1,0.30,130,346316.92
4,13,-1,0.30,155,385975.21
4,13,-1,0.30,180,455897.78
4,13,-1,0.30,205,526377.29
4,13,-1,0.30,230,766620.33
4,13,-1,0.30,255,806520.62
4,13,-1,0.30,280,1066060.46
4,15,-1,0.30,5,60971.98
4,15,-1,0.30,30,86586.50
4,15,-1,0.30,55,169130.77
4,15,-1,0.30,80,196038.63
4,15,-1,0.30,105,246862.45
4,15,-1,0.30,130,346315.61
4,15,-1,0.30,155,385975.21
4,15,-1,0.30,180,455875.71
4,15,-1,0.30,205,526327.50
4,15,-1,0.30,230,766334.01
4,15,-1,0.30,255,806135.36
4,15,-1,0.30,280,1061176.59
4,17,-1,0.30,5,60971.98
4,17,-1,0.30,30,86586.50
4,17,-1,0.30,55,169130.77
4,17,-1,0.30,80,196038.63
4,17,-1,0.30,105,246862.45
4,17,-1,0.30,130,346315.61
4,17,-1,0.30,155,385975.21
4,17,-1,0.30,180,455875.71
4,17,-1,0.30,205,526327.50
4,17,-1,0.30,230,766135.67
4,17,-1,0.30,255,805996.80
4,17,-1,0.30,280,1060390.76
4,19,-1,0.30,5,60971.98
4,19,-1,0.30,30,86586.50
4,19,-1,0.30,55,169130.77
4,19,-1,0.30,80,196038.63
4,19,-1,0.30,105,246862.45
4,19,-1,0.30,130,346315.61
4,19,-1,0.30,155,385975.21
4,19,-1,0.30,180,455866.68
4,19,-1,0.30,205,526300.95
4,19,-1,0.30,230,765936.62
4,19,-1,0.30,255,805901.38
4,19,-1,0.30,280,1056973.24
4,21,-1,0.30,5,60971.98
4,21,-1,0.30,30,86586.50
4,21,-1,0.30,55,169130.77
4,21,-1,0.30,80,196038.63
4,21,-1,0.30,105,246862.45
4,21,-1,0.30,130,346315.61
4,21,-1,0.30,155,385975.21
4,21,-1,0.30,180,455866.68
4,21,-1,0.30,205,526300.95
4,21,-1,0.30,230,765936.62
4,21,-1,0.30,255,805901.38
4,21,-1,0.30,280,1056973.24
4,23,-1,0.30,5,60971.98
4,23,-1,0.30,30,86586.50
4,23,-1,0.30,55,169130.77
4,23,-1,0.30,80,196038.63
4,23,-1,0.30,105,246862.45
4,23,-1,0.30,130,346315.61
4,23,-1,0.30,155,385975.21
4,23,-1,0.30,180,455866.68
4,23,-1,0.30,205,526196.39
4,23,-1,0.30,230,765669.70
4,23,-1,0.30,255,805626.77
4,23,-1,0.30,280,1056668.08
4,25,-1,0.30,5,60971.98
4,25,-1,0.30,30,86586.50
4,25,-1,0.30,55,169130.77
4,25,-1,0.30,80,196038.63
4,25,-1,0.30,105,246862.45
4,25,-1,0.30,130,346315.61
4,25,-1,0.30,155,385975.21
4,25,-1,0.30,180,455866.68
4,25,-1,0.30,205,526196.39
4,25,-1,0.30,230,765561.98
4,25,-1,0.30,255,805553.09
4,25,-1,0.30,280,1056602.63
4,27,-1,0.30,5,60971.98
4,27,-1,0.30,30,86586.50
4,27,-1,0.30,55,169130.77
4,27,-1,0.30,80,196038.63
4,27,-1,0.30,105,246862.45
4,27,-1,0.30,130,346301.35
4,27,-1,0.30,155,385960.95
4,27,-1,0.30,180,455735.40
4,27,-1,0.30,205,525911.15
4,27,-1,0.30,230,764991.53
4,27,-1,0.30,255,805216.41
4,27,-1,0.30,280,1056150.32
4,29,-1,0.30,5,60971.98
4,29,-1,0.30,30,86586.50
4,29,-1,0.30,55,169130.77
4,29,-1,0.30,80,196038.63
4,29,-1,0.30,105,246862.45
4,29,-1,0.30,130,346301.35
4,29,-1,0.30,155,385960.95
4,29,-1,0.30,180,455735.40
4,29,-1,0.30,205,525875.72
4,29,-1,0.30,230,764435.16
4,29,-1,0.30,255,804775.58
4,29,-1,0.30,280,1052594.03
4,31,-1,0.30,5,60971.98
4,31,-1,0.30,30,86586.50
4,31,-1,0.30,55,169130.77
4,31,-1,0.30,80,196038.63
4,31,-1,0.30,105,246862.45
4,31,-1,0.30,130,346301.35
4,31,-1,0.30,155,385960.95
4,31,-1,0.30,180,455735.40
4,31,-1,0.30,205,525793.43
4,31,-1,0.30,230,764385.88
4,31,-1,0.30,255,801738.01
4,31,-1,0.30,280,1052307.21
4,33,-1,0.30,5,60971.98
4,33,-1,0.30,30,86586.50
4,33,-1,0.30,55,169130.77
4,33,-1,0.30,80,196038.63
4,33,-1,0.30,105,246862.45
4,33,-1,0.30,130,346301.35
4,33,-1,0.30,155,385960.95
4,33,-1,0.30,180,455735.40
4,33,-1,0.30,205,525793.43
4,33,-1,0.30,230,764207.94
4,33,-1,0.30,255,801148.70
4,33,-1,0.30,280,1052018.07
4,35,-1,0.30,5,60971.98
4,35,-1,0.30,30,86586.50
4,35,-1,0.30,55,169130.77
4,35,-1,0.30,80,196038.63
4,35,-1,0.30,105,246862.45
4,35,-1,0.30,130,346301.35
4,35,-1,0.30,155,385960.95
4,35,-1,0.30,180,455735.40
4,35,-1,0.30,205,525793.43
4,35,-1,0.30,230,764135.56
4,35,-1,0.30,255,801112.66
4,35,-1,0.30,280,1051944.65
4,37,-1,0.30,5,60971.98
4,37,-1,0.30,30,86586.50
4,37,-1,0.30,55,169130.77
4,37,-1,0.30,80,196038.63
4,37,-1,0.30,105,246862.45
4,37,-1,0.30,130,346301.35
4,37,-1,0.30,155,385960.95
4,37,-1,0.30,180,455735.40
