coefficient,agentNo,coefficientVal,desiredProfit,distanceRes
dist,4,0.50000,30,86586.50
dist,8,0.50000,30,86586.50
dist,10,0.50000,30,86586.50
dist,1,1.00000,30,66362.97
dist,2,1.00000,30,85972.77
dist,4,1.00000,30,86586.50
dist,8,1.00000,30,86586.50
dist,10,1.00000,30,86586.50
dist,1,2.00000,30,66362.97
dist,2,2.00000,30,85972.77
dist,4,2.00000,30,86586.50
dist,8,2.00000,30,86586.50
dist,10,2.00000,30,86586.50
dist,1,4.00000,30,66362.97
dist,2,4.00000,30,85972.77
dist,4,4.00000,30,86586.50
dist,8,4.00000,30,86586.50
dist,10,4.00000,30,86586.50
dist,1,8.00000,30,66362.97
dist,2,8.00000,30,85972.77
dist,4,8.00000,30,86586.50
dist,8,8.00000,30,86586.50
dist,10,8.00000,30,86586.50
dist,1,16.00000,30,66362.97
dist,2,16.00000,30,85972.77
dist,4,16.00000,30,86586.50
dist,8,16.00000,30,86586.50
dist,10,16.00000,30,86586.50
dist,1,32.00000,30,66362.97
dist,2,32.00000,30,85972.77
dist,4,32.00000,30,86586.50
dist,8,32.00000,30,86586.50
dist,10,32.00000,30,86586.50
dist,1,64.00000,30,66362.97
dist,2,64.00000,30,85972.77
dist,4,64.00000,30,86586.50
dist,8,64.00000,30,86586.50
dist,10,64.00000,30,86586.50
dist,1,-1.00000,35,100429.09
dist,2,-1.00000,35,147844.54
dist,4,-1.00000,35,224195.96
dist,8,-1.00000,35,324828.04
dist,10,-1.00000,35,353150.36
dist,1,0.03125,35,72310.55
dist,2,0.03125,35,86515.26
dist,4,0.03125,35,87594.89
dist,8,0.03125,35,87594.89
dist,10,0.03125,35,87594.89
dist,1,0.06250,35,72310.55
dist,2,0.06250,35,86515.26
dist,4,0.06250,35,87594.89
dist,8,0.06250,35,87594.89
dist,10,0.06250,35,87594.89
dist,1,0.12500,35,72310.55
dist,2,0.12500,35,86515.26
dist,4,0.12500,35,87594.89
dist,8,0.12500,35,87594.89
dist,10,0.12500,35,87594.89
dist,1,0.25000,35,72310.55
dist,2,0.25000,35,86515.26
dist,4,0.25000,35,87594.89
dist,8,0.25000,35,87594.89
dist,10,0.25000,35,87594.89
dist,1,0.50000,35,72310.55
dist,2,0.50000,35,86515.26
dist,4,0.50000,35,87594.89
dist,8,0.50000,35,87594.89
dist,10,0.50000,35,87594.89
dist,1,1.00000,35,72310.55
dist,2,1.00000,35,86515.26
dist,4,1.00000,35,87594.89
dist,8,1.00000,35,87594.89
dist,10,1.00000,35,87594.89
dist,1,2.00000,35,72310.55
dist,2,2.00000,35,86515.26
dist,4,2.00000,35,87594.89
dist,8,2.00000,35,87594.89
dist,10,2.00000,35,87594.89
dist,1,4.00000,35,72310.55
dist,2,4.00000,35,86515.26
dist,4,4.00000,35,87594.89
dist,8,4.00000,35,87594.89
dist,10,4.00000,35,87594.89
dist,1,8.00000,35,72310.55
dist,2,8.00000,35,86515.26
dist,4,8.00000,35,87594.89
dist,8,8.00000,35,87594.89
dist,10,8.00000,35,87594.89
dist,1,16.00000,35,72310.55
dist,2,16.00000,35,86515.26
dist,4,16.00000,35,87594.89
dist,8,16.00000,35,87594.89
dist,10,16.00000,35,87594.89
dist,1,32.00000,35,72310.55
dist,2,32.00000,35,86515.26
dist,4,32.00000,35,87594.89
dist,8,32.00000,35,87594.89
dist,10,32.00000,35,87594.89
dist,1,64.00000,35,72310.55
dist,2,64.00000,35,86515.26
dist,4,64.00000,35,87594.89
dist,8,64.00000,35,87594.89
dist,10,64.00000,35,87594.89
dist,1,-1.00000,40,101400.63
dist,2,-1.00000,40,150694.54
dist,4,-1.00000,40,234510.83
dist,8,-1.00000,40,330069.39
dist,10,-1.00000,40,358981.77
dist,1,0.03125,40,72912.58
dist,2,0.03125,40,87580.62
dist,4,0.03125,40,88555.18
dist,8,0.03125,40,88555.18
dist,10,0.03125,40,88555.18
dist,1,0.06250,40,72912.58
dist,2,0.06250,40,87580.62
dist,4,0.06250,40,88555.18
dist,8,0.06250,40,88555.18
dist,10,0.06250,40,88555.18
dist,1,0.12500,40,72912.58
dist,2,0.12500,40,87580.62
dist,4,0.12500,40,88555.18
dist,8,0.12500,40,88555.18
dist,10,0.12500,40,88555.18
dist,1,0.25000,40,72912.58
dist,2,0.25000,40,87580.62
dist,4,0.25000,40,88555.18
dist,8,0.25000,40,88555.18
dist,10,0.25000,40,88555.18
dist,1,0.50000,40,72912.58
dist,2,0.50000,40,87580.62
dist,4,0.50000,40,88555.18
dist,8,0.50000,40,88555.18
dist,10,0.50000,40,88555.18
dist,1,1.00000,40,72912.58
dist,2,1.00000,40,87580.62
dist,4,1.00000,40,88555.18
dist,8,1.00000,40,88555.18
dist,10,1.00000,40,88555.18
dist,1,2.00000,40,72912.58
dist,2,2.00000,40,87580.62
dist,4,2.00000,40,88555.18
dist,8,2.00000,40,88555.18
dist,10,2.00000,40,88555.18
dist,1,4.00000,40,72912.58
dist,2,4.00000,40,87580.62
dist,4,4.00000,40,88555.18
dist,8,4.00000,40,88555.18
dist,10,4.00000,40,88555.18
dist,1,8.00000,40,72912.58
dist,2,8.00000,40,87580.62
dist,4,8.00000,40,88555.18
dist,8,8.00000,40,88555.18
dist,10,8.00000,40,88555.18
dist,1,16.00000,40,72912.58
dist,2,16.00000,40,87580.62
dist,4,16.00000,40,88555.18
dist,8,16.00000,40,88555.18
dist,10,16.00000,40,88555.18
dist,1,32.00000,40,72912.58
dist,2,32.00000,40,87580.62
dist,4,32.00000,40,88555.18
dist,8,32.00000,40,88555.18
dist,10,32.00000,40,88555.18
dist,1,64.00000,40,72912.58
dist,2,64.00000,40,87580.62
dist,4,64.00000,40,88555.18
dist,8,64.00000,40,88555.18
dist,10,64.00000,40,88555.18
dist,1,-1.00000,45,102923.06
dist,2,-1.00000,45,153223.39
dist,4,-1.00000,45,237274.56
dist,8,-1.00000,45,337771.64
dist,10,-1.00000,45,368692.84
dist,1,0.03125,45,142647.36
dist,2,0.03125,45,129697.90
dist,4,0.03125,45,132341.30
dist,8,0.03125,45,132341.30
dist,10,0.03125,45,132341.30
dist,1,0.06250,45,142647.36
dist,2,0.06250,45,129697.90
dist,4,0.06250,45,132341.30
dist,8,0.06250,45,132341.30
dist,10,0.06250,45,132341.30
dist,1,0.12500,45,142647.36
dist,2,0.12500,45,129697.90
dist,4,0.12500,45,132341.30
dist,8,0.12500,45,132341.30
