agents,distanceMultiplier,profitMultiplier,time,distance
4,0.30,2.10,16770.00,1043540.21
8,0.30,2.10,13150.00,1587668.60
1,0.30,2.20,63470.00,655474.51
2,0.30,2.20,22260.00,763343.55
4,0.30,2.20,16620.00,1043540.21
8,0.30,2.20,13180.00,1587668.60
1,0.30,2.30,70400.00,655474.51
2,0.30,2.30,22130.00,763343.55
4,0.30,2.30,16860.00,1043540.21
8,0.30,2.30,13000.00,1587668.60
1,0.30,2.40,63570.00,655474.51
2,0.30,2.40,22190.00,763343.55
4,0.30,2.40,16730.00,1043540.21
8,0.30,2.40,13110.00,1587668.60
1,0.30,2.50,63640.00,655474.51
2,0.30,2.50,22250.00,763343.55
4,0.30,2.50,16380.00,1043540.21
8,0.30,2.50,13030.00,1587668.60
1,0.30,2.60,64150.00,655474.51
2,0.30,2.60,22240.00,763343.55
4,0.30,2.60,16450.00,1043540.21
8,0.30,2.60,13110.00,1587668.60
1,0.30,2.70,63750.00,655474.51
2,0.30,2.70,22190.00,763343.55
4,0.30,2.70,16420.00,1043540.21
8,0.30,2.70,12740.00,1587668.60
1,0.30,2.80,63500.00,655474.51
2,0.30,2.80,21930.00,763343.55
4,0.30,2.80,18550.00,1043540.21
8,0.30,2.80,19710.00,1587668.60
1,0.30,2.90,69460.00,655474.51
2,0.30,2.90,25640.00,763343.55
4,0.30,2.90,18050.00,1043540.21
8,0.30,2.90,15560.00,1587668.60
1,0.30,3.00,71330.00,655474.51
2,0.30,3.00,25950.00,763343.55
4,0.30,3.00,19590.00,1043540.21
8,0.30,3.00,15210.00,1587668.60
1,0.30,3.10,69810.00,655474.51
2,0.30,3.10,25080.00,763343.55
4,0.30,3.10,46240.00,1043540.21
8,0.30,3.10,17340.00,1587668.60
1,0.30,3.20,70080.00,655474.51
2,0.30,3.20,25240.00,763343.55
4,0.30,3.20,18700.00,1043540.21
8,0.30,3.20,14180.00,1587668.60
1,0.30,3.30,70020.00,655474.51
2,0.30,3.30,25830.00,763343.55
4,0.30,3.30,18730.00,1043540.21
8,0.30,3.30,15780.00,1587668.60
1,0.30,3.40,69340.00,655474.51
2,0.30,3.40,28200.00,763343.55
4,0.30,3.40,21990.00,1043540.21
8,0.30,3.40,15010.00,1587668.60
1,0.30,3.50,69680.00,655474.51
2,0.30,3.50,27000.00,763343.55
4,0.30,3.50,18560.00,1043540.21
8,0.30,3.50,18590.00,1587668.60
1,0.30,3.60,77600.00,655474.51
2,0.30,3.60,35770.00,763343.55
4,0.30,3.60,18990.00,1043540.21
8,0.30,3.60,14890.00,1587668.60
1,0.30,3.70,69050.00,655474.51
2,0.30,3.70,25450.00,763343.55
4,0.30,3.70,19900.00,1043540.21
8,0.30,3.70,14300.00,1587668.60
1,0.30,3.80,69620.00,655474.51
2,0.30,3.80,25560.00,763343.55
4,0.30,3.80,19080.00,1043540.21
8,0.30,3.80,14690.00,1587668.60
1,0.30,3.90,72500.00,655474.51
2,0.30,3.90,28500.00,763343.55
4,0.30,3.90,20740.00,1043540.21
8,0.30,3.90,18660.00,1587668.60
1,0.30,4.00,69500.00,655474.51
2,0.30,4.00,26610.00,763343.55
4,0.30,4.00,20590.00,1043540.21
8,0.30,4.00,15260.00,1587668.60
1,0.30,4.10,78350.00,655474.51
2,0.30,4.10,25270.00,763343.55
4,0.30,4.10,21540.00,1043540.21
8,0.30,4.10,20650.00,1587668.60
1,0.30,4.20,80840.00,655474.51
2,0.30,4.20,42160.00,763343.55
4,0.30,4.20,17370.00,1043540.21
8,0.30,4.20,13500.00,1587668.60
1,0.30,4.30,64850.00,655474.51
2,0.30,4.30,25950.00,763343.55
4,0.30,4.30,17550.00,1043540.21
8,0.30,4.30,13720.00,1587668.60
1,0.30,4.40,64080.00,655474.51
2,0.30,4.40,31360.00,763343.55
4,0.30,4.40,28320.00,1043540.21
8,0.30,4.40,15680.00,1587668.60
1,0.30,4.50,77590.00,655474.51
2,0.30,4.50,25530.00,763343.55
4,0.30,4.50,31340.00,1043540.21
8,0.30,4.50,21530.00,1587668.60
1,0.30,4.60,69770.00,655474.51
2,0.30,4.60,22360.00,763343.55
4,0.30,4.60,16610.00,1043540.21
8,0.30,4.60,27280.00,1587668.60
1,0.30,4.70,83000.00,655474.51
2,0.30,4.70,22290.00,763343.55
4,0.30,4.70,16410.00,1043540.21
8,0.30,4.70,12870.00,1587668.60
1,0.30,4.80,64480.00,655474.51
2,0.30,4.80,26950.00,763343.55
4,0.30,4.80,16870.00,1043540.21
8,0.30,4.80,12990.00,1587668.60
1,0.30,4.90,63360.00,655474.51
2,0.30,4.90,22100.00,763343.55
4,0.30,4.90,17610.00,1043540.21
8,0.30,4.90,13160.00,1587668.60
1,0.30,5.00,80770.00,655474.51
2,0.30,5.00,22280.00,763343.55
4,0.30,5.00,16560.00,1043540.21
8,0.30,5.00,13320.00,1587668.60
1,0.40,0.10,70640.00,655474.51
2,0.40,0.10,22300.00,763343.55
4,0.40,0.10,16830.00,1043540.21
8,0.40,0.10,13410.00,1587668.60
1,0.40,0.20,65810.00,655474.51
2,0.40,0.20,24270.00,763343.55
4,0.40,0.20,17170.00,1043540.21
8,0.40,0.20,13460.00,1587668.60
1,0.40,0.30,69910.00,655474.51
2,0.40,0.30,27520.00,763343.55
4,0.40,0.30,17200.00,1043540.21
8,0.40,0.30,17190.00,1587668.60
